,title,year,make,model_trim,vehicle_type,model,trim,vehicle_mileage,price,exterior_color,interior_color,transmission,engine,drivetrain,vin,dealership_name,dealership_address,dealership_zipcode,dealership_city,dealership_state,inventory_url,scraped_date
0,2013 Acura RDX Tech Pkg,2013,Acura,RDX Tech Pkg,SUV,RDX,Tech Pkg,120771,15995.0,Graphite Luster Metallic,Black,Automatic,3.5L V6 Cylinder Engine,All Wheel Drive,5J8TB4H55DL003514,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:29.058896
1,2007 Aston Martin V8 Vantage 2dr Conv Sportshift,2007,Aston Martin,V8 tage 2dr Conv Sportshift,Convertible,V8 Vantage,2dr Conv Sportshift,35137,47995.0,Standard Paint,Standard Interior,Automatic,4.3L 8 Cylinder Engine,Rear Wheel Drive,SCFBF04B47GD06725,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:29.058896
2,2015 Audi A3 1.8T Premium,2015,Audi,A3 1.8T Premium,Sedan,A3,1.8T Premium,64060,19495.0,Brilliant Black,Black,Automatic,1.8L 4 Cylinder Engine,Front Wheel Drive,WAUACGFF3F1141158,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:29.058896
3,2015 Audi A3 1.8T Premium,2015,Audi,A3 1.8T Premium,Sedan,A3,1.8T Premium,52410,19995.0,Florett Silver Metallic,Black,Automatic,1.8L 4 Cylinder Engine,Front Wheel Drive,WAUACGFF0F1134555,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:29.058896
4,2014 Audi A4 Premium,2014,Audi,A4 Premium,Sedan,A4,Premium,72622,16450.0,Brilliant Red,Beige/Black,Automatic,2.0L 4 Cylinder Engine,All Wheel Drive,WAUBFAFL6EA071135,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:29.058896
5,2015 Audi A4 Premium,2015,Audi,A4 Premium,Sedan,A4,Premium,82029,18490.0,Ibis White,Black,Automatic,2.0L 4 Cylinder Engine,All Wheel Drive,WAUBFAFL9FN014552,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:29.058896
6,2010 Audi A5 2.0L Premium Plus,2010,Audi,A5 2.0L Premium Plus,Coupe,A5,2.0L Premium Plus,63115,18495.0,Ibis White,Black,Automatic,2.0L 4 Cylinder Engine,All Wheel Drive,WAULFAFR7AA017510,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:29.058896
7,2013 Audi A5 Premium Plus,2013,Audi,A5 Premium Plus,Convertible,A5,Premium Plus,73192,22995.0,Brilliant Black,Black,Automatic,2.0L 4 Cylinder Engine,All Wheel Drive,WAULFAFH5DN009183,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:29.058896
8,2014 Audi A5 Premium,2014,Audi,A5 Premium,Convertible,A5,Premium,38071,24990.0,Brilliant Black/Black Roof,Black,CVT Transmission,2.0L 4 Cylinder Engine,Front Wheel Drive,WAUAFAFH6EN005975,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:29.058896
9,2015 Audi A5 Premium Plus,2015,Audi,A5 Premium Plus,Coupe,A5,Premium Plus,64128,24750.0,Brilliant Red,Black,Automatic,2.0L 4 Cylinder Engine,All Wheel Drive,WAUMFAFR9FA049838,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:29.058896
10,2016 Audi A5 Premium Plus,2016,Audi,A5 Premium Plus,Coupe,A5,Premium Plus,54322,28995.0,Ibis White,Black,Automatic,2.0L 4 Cylinder Engine,All Wheel Drive,WAUM2AFR2GA024244,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:29.058896
11,2016 Audi A5 Premium Plus,2016,Audi,A5 Premium Plus,Coupe,A5,Premium Plus,54956,29995.0,Brilliant Black,Black,Automatic,2.0L 4 Cylinder Engine,All Wheel Drive,WAUM2AFR1GA028897,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:29.058896
12,2016 Audi A5 Premium,2016,Audi,A5 Premium,Coupe,A5,Premium,59756,25995.0,Brilliant Black,Beige/Black,Automatic,2.0L 4 Cylinder Engine,All Wheel Drive,WAUD2AFR4GA019644,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:29.058896
13,2007 Audi A6 3.2L,2007,Audi,A6 3.2L,Sedan,A6,3.2L,197017,,GRAY,,6 Speed Automatic,3.2 V6 Cylinder Engine,All Wheel Drive,WAUDH74F27N083698,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:29.058896
14,2014 Audi A6 2.0T Premium Plus,2014,Audi,A6 2.0T Premium Plus,Sedan,A6,2.0T Premium Plus,87541,19995.0,Brilliant Black,Black,Automatic,2.0L 4 Cylinder Engine,All Wheel Drive,WAUGFAFC1EN030829,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:29.058896
15,2018 Audi A6 Premium,2018,Audi,A6 Premium,Sedan,A6,Premium,69603,28450.0,Brilliant Black,Black,Automatic,2.0L 4 Cylinder Engine,All Wheel Drive,WAUF8AFC6JN018966,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:29.058896
16,2016 Audi A7 3.0 Premium Plus,2016,Audi,A7 3.0 Premium Plus,Hatchback,A7,3.0 Premium Plus,59964,41995.0,Black,Tan,Automatic,3.0L V6 Cylinder Engine,All Wheel Drive,WAUWGAFC2GN023206,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:29.058896
17,2014 Audi A8 4.0T,2014,Audi,A8 4.0T,Sedan,A8,4.0T,86457,28495.0,Moonlight Blue Metallic,Silk Beige,Automatic,4.0L 8 Cylinder Engine,All Wheel Drive,WAUR2AFD2EN004401,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:29.058896
18,2015 Audi A8 4.0T,2015,Audi,A8 4.0T,Sedan,A8,4.0T,60048,37495.0,Monsoon Gray Metallic,Black,Automatic,4.0L 8 Cylinder Engine,All Wheel Drive,WAU32AFD4FN041084,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:29.058896
19,2012 Audi Q5 2.0T Premium Plus,2012,Audi,Q5 2.0T Premium Plus,SUV,Q5,2.0T Premium Plus,77966,18995.0,Brilliant Black,Gray,Automatic,2.0L 4 Cylinder Engine,All Wheel Drive,WA1LFAFPXCA122069,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:29.058896
20,2013 Audi Q5 Premium Plus,2013,Audi,Q5 Premium Plus,SUV,Q5,Premium Plus,72603,21995.0,Moonlight Blue Metallic,Beige,Automatic,2.0L 4 Cylinder Engine,All Wheel Drive,WA1LFAFP9DA058866,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:29.058896
21,2014 Audi Q5 Premium Plus,2014,Audi,Q5 Premium Plus,SUV,Q5,Premium Plus,99537,18950.0,Lava Gray Pearl Effect,Black,Automatic,2.0L 4 Cylinder Engine,All Wheel Drive,WA1LFAFP6EA054713,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:29.058896
22,2015 Audi Q5 Premium,2015,Audi,Q5 Premium,SUV,Q5,Premium,70017,24888.0,Ibis White,Chestnut Brown,Automatic,2.0L 4 Cylinder Engine,All Wheel Drive,WA1CFAFPXFA112193,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:29.058896
23,2018 Audi Q5 Premium,2018,Audi,Q5 Premium,SUV,Q5,Premium,74750,27995.0,Brilliant Black,Black,Automatic,2.0L 4 Cylinder Engine,All Wheel Drive,WA1ANAFY0J2141269,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:29.058896
24,2018 Audi Q5 Premium,2018,Audi,Q5 Premium,SUV,Q5,Premium,44200,35750.0,Navarra Blue Metallic,Nougat Brown,Automatic,2.0L 4 Cylinder Engine,All Wheel Drive,WA1ANAFY4J2215891,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:29.058896
25,2012 Audi Q7 3.0T Premium Plus,2012,Audi,Q7 3.0T Premium Plus,SUV,Q7,3.0T Premium Plus,97949,16995.0,Graphite Gray Metallic,Black,Automatic,3.0L V6 Cylinder Engine,All Wheel Drive,WA1LGAFE1CD010464,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:30.022125
26,2014 Audi Q7 3.0T S line Prestige,2014,Audi,Q7 3.0T S line Prestige,SUV,Q7,3.0T S line Prestige,83843,24888.0,Mugello Blue Pearl Effect,Black,Automatic,3.0L V6 Cylinder Engine,All Wheel Drive,WA1DGAFE5ED016016,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:30.022125
27,2009 Audi R8 4.2L,2009,Audi,R8 4.2L,Coupe,R8,4.2L,21286,86995.0,Phantom Black Pearl,Black,Automatic,4.2L 8 Cylinder Engine,All Wheel Drive,WUAAU34289N001437,Avon Auto Brokers,159 Memorial Drive,02322,Avon,MA,https://avonautobrokers.com/newandusedcars?clearall=1,2022-03-15 17:53:30.022125
