,title,year,make,model_trim,vehicle_type,model,trim,vehicle_mileage,price,exterior_color,interior_color,transmission,engine,drivetrain,vin,dealership_name,dealership_address,dealership_zipcode,dealership_city,dealership_state,inventory_url,scraped_date
0,2018  Audi A4 2.0T quattro Premium Plus ,2018,Audi,A4 2.0T quattro Premium Plus,,,,15679,35980,Moonlight Blue Metallic,Nougat Brown Interior,Automatic 7-Speed,2.0L I4 Turbocharger,AWD,,Newton Automotive Sales,249 Centre Street,02458,Newton,MA,https://www.newtonautoandsales.com/cars-for-sale,2022-04-02 23:53:27.170441
1,2018  Audi Q7 3.0T quattro Prestige ,2018,Audi,Q7 3.0T quattro Prestige,,,,53912,47760,Black,Brown,Automatic 8-Speed,V6 3.0L Supercharger,AWD,,Newton Automotive Sales,249 Centre Street,02458,Newton,MA,https://www.newtonautoandsales.com/cars-for-sale,2022-04-02 23:53:27.170441
2,2017  Audi A4 2.0T quattro Premium Plus ,2017,Audi,A4 2.0T quattro Premium Plus,,,,53298,28990,White,Beige,Automatic 7-Speed,I4 2.0L Turbocharger,AWD,,Newton Automotive Sales,249 Centre Street,02458,Newton,MA,https://www.newtonautoandsales.com/cars-for-sale,2022-04-02 23:53:27.170441
3,2018  Audi S4 3.0T quattro Prestige ,2018,Audi,S4 3.0T quattro Prestige,,,,62800,40990,Black,Black,Automatic 8-Speed,V6 3.0L Turbocharger,AWD,,Newton Automotive Sales,249 Centre Street,02458,Newton,MA,https://www.newtonautoandsales.com/cars-for-sale,2022-04-02 23:53:27.170441
4,2017  Audi TT 2.0T quattro ,2017,Audi,TT 2.0T quattro,,,,29520,38870,Nano Gray Metallic,"Rock Gray, Fine Nappa Leather",Automatic 6-Speed,I4 2.0L Turbocharger,AWD,,Newton Automotive Sales,249 Centre Street,02458,Newton,MA,https://www.newtonautoandsales.com/cars-for-sale,2022-04-02 23:53:27.170441
5,2013  Audi A8 L 3.0T quattro ,2013,Audi,A8 L 3.0T quattro,,,,30880,33580,Blue,Tan,Automatic 8-Speed,V6 3.0L Supercharger,AWD,,Newton Automotive Sales,249 Centre Street,02458,Newton,MA,https://www.newtonautoandsales.com/cars-for-sale,2022-04-02 23:53:27.170441
6,2018  Audi SQ5 3.0T quattro Prestige ,2018,Audi,SQ5 3.0T quattro Prestige,,,,99106,35990,Black,Black,Automatic 8-Speed,V6 3.0L Turbocharger,AWD,,Newton Automotive Sales,249 Centre Street,02458,Newton,MA,https://www.newtonautoandsales.com/cars-for-sale,2022-04-02 23:53:27.170441
7,2018  Audi Q7 3.0T quattro Premium Plus ,2018,Audi,Q7 3.0T quattro Premium Plus,,,,99848,34590,Graphite Gray Metallic,Black,Automatic 8-Speed,V6 3.0L Supercharger,AWD,,Newton Automotive Sales,249 Centre Street,02458,Newton,MA,https://www.newtonautoandsales.com/cars-for-sale,2022-04-02 23:53:27.170441
8,2020  Audi Q5 2.0T quattro Premium Plus ,2020,Audi,Q5 2.0T quattro Premium Plus,,,,29709,46990,Mythos Black Metallic,"Nougat Brown, Leather Seating",Automatic 7-Speed,I4 2.0L Turbocharger,AWD,,Newton Automotive Sales,249 Centre Street,02458,Newton,MA,https://www.newtonautoandsales.com/cars-for-sale,2022-04-02 23:53:27.170441
9,2013  BMW 6 Series 650i xDrive Gran Coupe ,2013,BMW,6 Series 650i xDrive Gran,Coupe,,,73635,28980,Blue,Black,Automatic 8-Speed,V8 4.4L Twin Turbocharger,AWD,,Newton Automotive Sales,249 Centre Street,02458,Newton,MA,https://www.newtonautoandsales.com/cars-for-sale,2022-04-02 23:53:27.170441
